order_id,customer_id,product_id,order_date,quantity,unit_price,unit_cost,revenue,cogs,margin
1,4146,3686,2023-12-16,5,292.55,133.24,1462.75,666.2,796.55
2,5642,2417,2024-05-06,1,61.52,52.76,61.52,52.76,8.760000000000005
3,8634,4427,2023-06-11,4,87.32,85.86,349.28,343.44,5.839999999999975
4,5898,2864,2023-09-25,3,292.17,72.85,876.51,218.54999999999998,657.96
5,7370,3476,2023-04-16,5,37.02,49.22,185.10000000000002,246.1,-60.99999999999997
6,3896,4453,2023-07-22,1,63.64,47.34,63.64,47.34,16.299999999999997
7,4798,3975,2023-07-02,5,148.44,98.77,742.2,493.84999999999997,248.35000000000008
8,1829,2690,2024-08-02,4,22.27,44.71,89.08,178.84,-89.76
9,9728,4347,2023-12-09,2,95.42,89.4,190.84,178.8,12.039999999999992
10,560,296,2023-06-10,3,176.8,38.84,530.4000000000001,116.52000000000001,413.8800000000001
11,9366,2670,2024-02-02,1,71.11,136.21,71.11,136.21,-65.10000000000001
12,9277,1033,2024-01-21,1,249.02,40.14,249.02,40.14,208.88
13,3915,4730,2023-09-16,4,297.12,105.05,1188.48,420.2,768.28
14,8431,2347,2023-02-21,3,267.92,85.46,803.76,256.38,547.38
15,8051,1889,2024-05-06,3,224.07,141.26,672.21,423.78,248.43000000000006
16,9664,4821,2024-10-19,1,95.6,29.61,95.6,29.61,65.99
17,6901,974,2024-06-30,5,197.53,136.81,987.65,684.05,303.6
18,5588,4658,2024-05-15,2,120.5,149.13,241.0,298.26,-57.25999999999999
19,5413,4699,2024-06-03,3,159.6,44.51,478.79999999999995,133.53,345.27
20,4613,1034,2024-12-11,5,101.33,123.55,506.65,617.75,-111.10000000000002
21,3684,1234,2023-06-03,3,36.93,79.07,110.78999999999999,237.20999999999998,-126.41999999999999
22,8397,2755,2024-06-06,5,183.11,122.43,915.5500000000001,612.1500000000001,303.4
23,7348,3460,2023-02-26,2,259.58,98.69,519.16,197.38,321.78
24,3601,1493,2024-01-16,2,101.71,39.1,203.42,78.2,125.21999999999998
25,6644,2198,2023-11-21,1,26.9,127.41,26.9,127.41,-100.50999999999999
26,1214,4809,2024-01-01,3,115.57,37.12,346.71,111.35999999999999,235.35
27,7348,4460,2024-05-12,5,164.76,45.41,823.8,227.04999999999998,596.75
28,3092,297,2024-04-05,3,146.11,109.3,438.33000000000004,327.9,110.43000000000006
29,1383,1513,2024-06-15,3,274.92,15.68,824.76,47.04,777.72
30,3681,3728,2024-04-27,2,141.44,65.37,282.88,130.74,152.14
31,9872,581,2023-07-29,4,243.5,140.97,974.0,563.88,410.12
32,8199,654,2023-05-22,2,252.86,85.49,505.72,170.98,334.74
33,3499,3508,2023-03-18,1,217.35,23.79,217.35,23.79,193.56
34,8488,1038,2023-08-02,5,31.8,66.7,159.0,333.5,-174.5
35,5507,687,2024-06-08,4,108.05,83.94,432.2,335.76,96.44
36,8456,2832,2023-11-06,4,188.6,128.78,754.4,515.12,239.27999999999997
37,2138,1604,2023-01-05,4,120.83,18.63,483.32,74.52,408.8
38,7656,2815,2024-09-13,5,125.88,106.25,629.4,531.25,98.14999999999998
39,8125,87,2024-06-10,5,48.06,72.73,240.3,363.65000000000003,-123.35000000000002
40,4949,841,2024-04-14,2,220.39,103.21,440.78,206.42,234.35999999999999
41,3866,3682,2024-07-01,1,261.43,38.98,261.43,38.98,222.45000000000002
42,5461,4227,2023-12-07,5,73.97,24.11,369.85,120.55,249.3
43,5449,1391,2023-01-13,5,174.0,119.21,870.0,596.05,273.95000000000005
44,4497,3246,2023-11-11,4,134.52,128.46,538.08,513.84,24.24000000000001
45,4453,4963,2024-08-28,5,274.65,31.57,1373.25,157.85,1215.4
46,6899,3599,2023-09-29,3,22.4,142.88,67.19999999999999,428.64,-361.44
47,2547,811,2024-11-30,4,285.99,61.24,1143.96,244.96,899.0
48,4930,1289,2024-10-17,4,182.66,56.99,730.64,227.96,502.67999999999995
49,8311,2909,2024-03-09,4,284.88,139.91,1139.52,559.64,579.88
50,7215,3111,2023-04-09,1,193.21,119.27,193.21,119.27,73.94000000000001
51,2396,231,2024-09-15,2,273.92,129.86,547.84,259.72,288.12
52,7672,2535,2024-07-14,1,158.12,27.63,158.12,27.63,130.49
53,5515,4153,2023-09-15,2,58.51,50.51,117.02,101.02,16.0
54,1703,2102,2024-09-15,1,293.97,71.81,293.97,71.81,222.16000000000003
